Straßenname	ungerade Hausnummer	gerade Hausnummer	Wahlkreis	Ortschaft	Wahlbezirk
Grüner Bogen	1-11	2-14	7	Burghausen	7501
Grüner Winkel	1-5	2-4	8	Lützschena-Stahmeln	8229
Grunertstraße	1-11	2-10	9		1209
Grünewaldstraße	1-19		0		0200
Grünfinkenweg	1-15	2-34	7	BöhLindenthalz-Ehrenberg	7419
Grunickestraße	1-45	2-46	1		1109
Gudrunstraße	14-34		4		4309
Gudrunstraße	21-43		4		4369
Güldengossaer Straße	1-31	4-36	3	Liebertwolkwitz	3409
Gundermannstraße	1-5	4-20	2		2489
Gundermannstraße	7-19		2		2459
Gundermannstraße	21-37		2		2489
Gundorfer Kirchweg	1-9	2-8	7	BöhLindenthalz-Ehrenberg	7439
Gundorfer Straße	1-9	2-16	7	Burghausen	7501
Gundoweg	1-17	2-20	7	BöhLindenthalz-Ehrenberg	7439
Günselstraße	1-17	2-8	2		2420
Günselstraße	10-18		2		2410
Güntheritzer Weg	1-11	2-12	9		9309
Güntherstraße	1-13	2-16	7		7119
Güntzstraße	1-25	2-26	3		3140
Hans-Oster-Straße	3-31	36-50	8		9231
Hans-Otto-Straße	1-5	2-6	4		4309
Hans-Poeche-Straße	3-9		0		0129
Hans-Poeche-Straße	11-31	2-24	0		0109
Hans-Sachs-Straße	11-23	4-22	2		2219
Hans-Scholl-Straße	1-39	2-46	3	Holzhausen	3521
Hans-Weigel-Straße	5-5B		2	Engelsdorf	2709
Hans-Weigel-Straße	7-31	2-22	2	Engelsdorf	2731
Happweg	5-19	6-18	8	Lindenthal	8321
Harbigweg	1-49	2-24	2	Engelsdorf	2711
Hardenbergstraße	1-11A		4		4001
Hardenbergstraße	2-16		4		4040
Hardenbergstraße	17-25	18-28	4		4051
Hardenbergstraße	32-36		4		4089
Hardenbergstraße	27-53	38-54	4		4069
Hardenbergstraße	55-57	62-84	4		4098
Harkortstraße	1-21		0		0310
Harkortstraße	6-10		0		0301
Harnackstraße	1-9	2-10	3		3021
Harpstedter Straße	1-5	2	2	Engelsdorf	2709
Harpstedter Straße	11-13	8-26	2	Engelsdorf	2731
Härtelstraße	3-27	4-18	0		0310
Hartmannsdorfer Straße	1-9	2-10	5		5259
Hartriegelstraße	1-13	2-20	2		2420
Hartriegelstraße	15-27		2		2410
Hartzstraße	2-20		9		9369
Haselstraße	1-15	2-14	2		2420
Haselstraße	17-33	16-28	2		2410
Haselweg	1-5	2-4	3	Liebertwolkwitz	3419
Hasenheide	2-6		2	Mölkau	2609
Hasenholzweg	3	2-4	7		7309
Hasenpfad	5-25	2-24	5		5409
Hauckstraße	1-3	2	2		2330
Hauffweg	1-15	2-14	0		4210
Hauptmannstraße	1-15	4-10	0		0419
Hauptstraße	1-47	2-50	3	Holzhausen	3519
Hauschildstraße	1-9	2-10	7		7109
Hausdorffweg	5	2-8	9		9100
Häuslergasse	1-7	6-8	2		2471
Häußerstraße	1-19	2-18	5		5311
Haußmannstraße	1-13		5		5049
Haydnstraße	2-8		0		0301
Haydnstraße	1-21	12-20	0		0320
Hebelstraße	7-35	2-32	7		7140
Heckenweg	1-23	2-28	1		1500
Hedwig-Burgheim-Straße	6-10		8		9211
Hedwigstraße	1-3	2-14	1		2020
Hedwigstraße	5-15	16-20	1		2009
Hegelstraße	1-7	2-10	9		9151
Heidelberger Straße	1	2-18	6		6209
Heideweg	1-17	2-12B	5	Hartmannsdorf-Knautnaundorf	5520
Heilbronner Straße	1-19	2-16A	6		6209
Heilemannstraße	1-49	4-78	4		4111
Heimdallstraße	1-35	2-28	1		1439
Heimteichstraße	2-14		7		7359
Heimteichstraße	13-23		7		7319
Heimteichstraße	25-39	16-48	7		7329
Heinickestraße	1-27	2-8	9		9349
Heinkstraße	1-15		1		1030
Heinkstraße	17-19	2-10	1		1059
Heinrich-Büchner-Straße	1-45	2-46	1		1109
Heinrich-Budde-Straße	2-16		9		9169
Heinrich-Budde-Straße	1-31	18-22	9		9129
Heinrich-Budde-Straße	33-49	28-52	9		9139
Heinrich-Heine-Straße	7-11	2A-8A	7	BöhLindenthalz-Ehrenberg	7401
Heinrich-Heine-Straße	15-41	10-46	7	BöhLindenthalz-Ehrenberg	7402
Heinrich-Heine-Straße	43-69	48-56	7	BöhLindenthalz-Ehrenberg	7421
Heinrich-Heine-Straße	71-75	64-78	7	BöhLindenthalz-Ehrenberg	7429
Heinrich-Heine-Straße	77-91		7	BöhLindenthalz-Ehrenberg	7421
Heinrich-Kaps-Straße	2		9	Wiederitzsch	9520
Heinrich-Mann-Straße	1-43	2-60	8		9221
Heinrich-Mann-Weg	6-10		3		3319
Heinrich-Mann-Weg	3-57	14-18	3		3301
Heinrich-Schmidt-Straße	1-7	2-4	1		1061
Heinrich-Schmidt-Straße	9-21	6-8	1		1079
Heinrichstraße	2-28		3		3001
Hillerstraße	3-9	2-8	0		0419
Hilligerstraße	1-9	2-8	9		1360
Hinrichsenstraße	1-5	2-16	0		0521
Hinrichsenstraße	9-31		0		0549
Hinrichsenstraße	18-34		0		0530
Hinrichsenstraße	33-41	36-46	0		0519
Hinter dem Dorf	1-7	8	1	Plaußig	1520
Hinter dem Zuckelhausener Ring	4-10E		3	Holzhausen	3521
Hinter den Gärten	1-29	2-24	8	Lützschena-Stahmeln	8200
Hinter der Kirche	2-14		9	Seehausen	9400
Hirschfelder Straße	2-6		2	Engelsdorf	2729
Hirschfelder Straße	3-15		2	Engelsdorf	2709
Hirschsprung	1-9	2-8	5		5409
Hirschsprung	31-63	52-72	5		5401
Hirseweg	1-19	2-14D	9	Wiederitzsch	9520
Hirtenholzstraße	7-9		8		8119
Hirtenholzstraße	11	2	8		8111
Hirzelstraße	6-20		5		5211
Hirzelstraße	1A-35	22-36	5		5219
Hoepnerstraße	2-28		9		9111
Hoepnerstraße	3-13		9		9129
Hoepnerstraße	17-27		9		9100
Hofer Straße	3-31	4-56A	3		3071
Hofer Straße	33-59	58-92	3		3059
Hoffmannstraße	1-23	2-20	2		2321
Hofmeisterstraße	10-14		0		0109
Hohe Straße	3-13		0		0359
Hohe Straße	19-43	16-38A	0		0341
Hohe Straße	45	52-60	0		0339
Hohe Straße	49-51		0		0320
Hohenheidaer Straße	1-7	2	1	Plaußig	1520
Hohenheidaer Weg	1-33	6	1		1500
Hohenossiger Weg	1-11A	2-14	9		9309
Hohenrodaer Weg	1-19	2-10	9		9309
Hohenthalstraße	3-5	2-8	5		5409
Hohentichelnstraße	6-26		2		2401
Hohle Gasse	1-41	2-16	8	Lützschena-Stahmeln	8219
Hohmannstraße	1-11	6-12	9		9369
Holbeinstraße	1-25	2-22E	5		5008
Holbeinstraße	27-41		5		5019
Holbeinstraße	43-57	24-58	5		5029
Holbeinstraße	59-85		5		5039
Holbergstraße	23-25		7		7239
Hölderlinstraße	1-5	2-6	9		9111
Holsteinstraße	1-5B		3		3049
Holsteinstraße	7-27		3		3059
Holsteinstraße	29-43	24-64	3		3060
Holsteinstraße	45-63		3		3071
Holteistraße	7-17	4-26	7		7140
Höltystraße	1-51		3		3301
Höltystraße	2-36		3		3229
Holunderbogen	3-25	2-12	9	Wiederitzsch	9511
Holunderweg	5-23	2-48	5		5411
Holzhausener Straße	1-7	2	3	Liebertwolkwitz	3419
Holzhausener Straße	6-8		3	Liebertwolkwitz	3439
Holzhäuser Straße	1-31	2-40	3		3140
Holzhäuser Straße	33-51		3		3119
Holzhäuser Straße	52-78		3		3168
Holzhäuser Straße	63-77		3		3129
Holzhäuser Straße	80-112		3		3151
Holzhäuser Straße	81-161		3		3130
Holzhäuser Straße	118-146		3		3161
Hommelweg	13-15	2-14	2	Mölkau	2619
Hopfenbergstraße	1-21	2-16	8		8121
Hopfenweg	1-7		2		2420
Hopfenweg	2-8		2		2410
Horburger Straße	59D-105		6		6009
Hornissenwinkel	1-33	2-34	1		2511
Hornstraße	3-11	2-4	5		5319
Horst-Fritsche-Weg	1-7	2-8	2	Engelsdorf	2809
Horst-Heilmann-Straße	2-10		8		8011
Hortensienweg	1-15	2-14	3	Holzhausen	3509
Hotherstraße	2-10		1		1439
Hoyerstraße	3-23	2-10	5		5049
Huberstraße	1-5	6	5		5009
Hubertusstraße	49-55	52-58	5		5409
Johannes-Kärner-Straße	1-15	2-16	2		2471
Johannes-R.-Becher-Straße	3-13	2-22	4		4329
Johannes-Weyrauch-Platz	2		7	BöhLindenthalz-Ehrenberg	7402
Johannisallee	1-11		3		3021
Johannisallee	2-20		3		3019
Johannisallee	19-29		0		0241
Johannisallee	26-34A		0		0212
Johannisallee	36-38		0		0220
Johannisgasse	7-9	16	0		0200
Johannisgasse	19-27	24-26	0		0211
Johannishöhe	1-29	10-36	4		4410
Johannisplatz	1-3	2-4	0		0109
Johannisplatz	5-21	12-20	0		0211
Johnsonweg	1-7	2-8	3		3211
Jöhstädter Straße	3	2-4	1		1439
Jonasstraße	1-11	2-8	1		2020
Jonsdorfer Straße	1-19	2-20A	5		6311
Jordanstraße	1-9	2-18	7		7001
Jörgen-Schmidtchen-Weg	1-25	2-8	8		9209
Josephinenstraße	7-39	10-24	3		3021
Josephstraße	1A-51	8-16	7		7029
Josephstraße	18-46		7		7019
Jouleweg	1-1A	2-24	3		3130
Judith-Auer-Straße	10-16		3		3089
Juister Weg	1-5	2-4	8		9211
Julian-Marchlewski-Straße	1-3	4-62	1		1119
Julius-Krause-Straße	1-45	8-40	2		2330
Juliusstraße	1-5	2-22	1		2141
Jungfernstiege	1-11	2-14	8	Lützschena-Stahmeln	8219
Junghanßstraße	1-3	2-24	7		7319
Jungmannstraße	1-5	2	8		8102
Jupiterstraße	1-51	2	6		6549
Jupiterstraße	4-42		6		6559
Jupiterstraße	44-46		6		6519
Jupiterstraße	48-50		6		6539
Jupp-Müller-Straße	1-11		8		8049
Jutta-Hipp-Weg	16-24		3		3319
Kahlhoffweg	3-19		4		4410
Kahlhoffweg	8-16		4		4402
Kamelienweg	1-13	2-2A	5	Hartmannsdorf-Knautnaundorf	5520
Kamenzer Straße	1-15	4-12	1		1109
Kamillenweg	1-101	2-100	9	Wiederitzsch	9520
Kanalstraße	3-5		8		9039
Kanalstraße	4-6		0		0601
Kändlerstraße	11-13		6		6459
Kaninchensteig	1-23	2-20A	5		5409
Kaninchensteig	48-60		5		5401
Kantatenweg	1A-7A	2A-6	5		5219
Kantatenweg	9-41B	8-40	5		5249
Kantor-Andrä-Straße	1-17	2-12	7	BöhLindenthalz-Ehrenberg	7421
Kantor-Andrä-Straße	14-16		7	BöhLindenthalz-Ehrenberg	7419
Kantor-Hase-Straße	5-37	4-16	8	Lindenthal	8313
Kantor-Schmidt-Weg	3-9	2-10	2	Mölkau	2619
Kantstraße	1-7	2-6A	4		4040
Kantstraße	11-29	8-30	4		4079
Kantstraße	31-43		4		4089
Kantstraße	45-63B	32-60	4		4099
Kantstraße	65-73	62-64	4		4098
Kapellenstraße	3-17	6-20	1		2069
Karl-Blechen-Straße	1-13	2-12	2		2321
Karl-Bücher-Straße	1-17	8-18	2		2471
Karl-Ferlemann-Straße	9-23		7		7140
Karl-Ferlemann-Straße	31-59	6-56	7		7109
Karl-Friedrich-Straße	1-35	4-24	2	Mölkau	2619
Karl-Härting-Straße	1-21	2-50	2		2330
Karl-Heft-Straße	1-29		5		5311
Karl-Heft-Straße	2-24		5		5319
Karl-Heine-Platz	1		7		7029
Karl-Heine-Straße	1-21		5		5121
Karl-Heine-Straße	2-44		7		7029
Karl-Heine-Straße	25-27A		5		5109
Karl-Heine-Straße	29-93C		5		5119
Karl-Heine-Straße	46-76A		7		7019
Karl-Heine-Straße	92-112		7		7001
Karl-Heine-Straße	95-111		5		5129
Karl-Helbig-Straße	1-15	2-28	8		8011
Kieler Straße	1-79	4-84	9		1360
Kiesgrubenstraße	23	6	2	Engelsdorf	2919
Kiesweg	1-13	4-14	8	Lindenthal	8309
Kietzstraße	3-19	4-14	7		7309
Kiewer Straße	1-5		5		6311
Kiewer Straße	28-30		6		6029
Kiewer Straße	31		6		6559
Kindstraße	1	2-6	7		7029
Kippenbergstraße	3-13	2-28	3		3019
Kippenbergstraße	15-33	32	3		3009
Kipsdorfer Weg	1-19	2-22	5		6311
Kirchplatz	9-11	8-12	8		9029
Kirchstraße	2-12		3	Liebertwolkwitz	3419
Kirchstraße	3-7		3	Liebertwolkwitz	3409
Kirchweg	1-31	2-32	2	Engelsdorf	2809
Kirchweg	33-35	34-36	2	Engelsdorf	2709
Kirschbergstraße	3-51	4-60	8		8071
Kirschbergstraße	57-71		8		9059
Kirschbergstraße	66A-84		8		9049
Kissinger Straße	1-7		5		6312
Kissinger Straße	9-19B	2A-12	5		6311
Klabundweg	1-31	2-32	3		3319
Klarastraße	1-19	2-22	5		5140
Klarastraße	21-39	24-30	5		5211
Klasingstraße	3-29	2-46	1		2039
Klausenerstraße	9	10	2		2219
Kleine Bergstraße	1-15	2-12	2	Mölkau	2619
Kleine Fleischergasse	2-8		0		0019
Kleine Gartensiedlung	1	2-8	2	Engelsdorf	2711
Kleine Gartenstraße	5-25	2-24	9	Wiederitzsch	9520
Kleine Promenade	1-11	2-12	2	Engelsdorf	2709
Kleiner Poetenweg	1-43	2-42	8	Lützschena-Stahmeln	8219
Kleiner Zipfel	1-25	2-24	8	Lützschena-Stahmeln	8219
Kleinpösnaer Anger	1-7	2-8	2	Engelsdorf	2919
Kleinpösnaer Straße	1-41	40	3	Holzhausen	3519
Kleiststraße	1-17	2-28	9		9171
Kleiststraße	19-103		9		9151
Kleiststraße	52-56		9		9309
Kleiststraße	109-133	58-80	8		9229
Klemmstraße	1-11	2-16	4		4149
Klempererstraße	1-43	16-48A	2	Engelsdorf	2729
Klenaustraße	1-15	2-16	3	Liebertwolkwitz	3409
Klettenstraße	2-16		2		2420
Klettenstraße	17-43		2		2402
Klettenstraße	18-46		2		2410
Klingenstraße	1-37	2-44	5		5139
Klingenstraße	39-45	46-54	5		5211
Klingenstraße	47-57	56-60	5		5219
Klingenthaler Straße	1-5	2-36	1		1410
Klingerplatz	1-5	2-4	2	Engelsdorf	2731
Klingerstraße	1-29	2-38	2	Engelsdorf	2731
Klingerweg	2		5		5007
Klipphausenstraße	1-31	2-20	3	Liebertwolkwitz	3419
Klopstockstraße	1-11	2-14	7		7119
Kloßstraße	1-39		5		5301
Kloßstraße	2-46		5		5319
Klostergasse	3-9	12-18	0		0019
Klosterneuburger Weg	1-23	2-22	1		1510
Knaurstraße	5-5A	6-10	8		9029
Knauthainer Straße	3-33	4-36	5		5259
Knautnaundorfer Anger	1	2-4	5	Hartmannsdorf-Knautnaundorf	5509
Knautnaundorfer Straße	1-47	2	5		5412
Knautnaundorfer Straße	47A-55	4-60	5		5411
Knautnaundorfer Straße	133	136	5	Hartmannsdorf-Knautnaundorf	5520
Knautnaundorfer Straße	203-247	242	5	Hartmannsdorf-Knautnaundorf	5509
Knesebeckstraße	1-19	2-6	3	Liebertwolkwitz	3409
Knöflerstraße	1-17	2-18	8		9231
Knopstraße	7-29		8		8069
Knorrstraße	1-17	2-14	2	Engelsdorf	2731
Knuthstraße	1-7	4-16	5		5412
Köbisstraße	1-9	2-10	3		3019
Koburger Straße	3-17		4		4149
Koburger Straße	8-48		4		4101
Kochstraße	1-5	4-10	4		4011
Kochstraße	9-31	12-20	4		4029
Kochstraße	22-28A		4		4001
Kriemhildstraße	1-13	2-14	4		4369
Kröbelstraße	3-11	6-14	3		3039
Krokerstraße	1-15	2-28	9		9151
Krokerstraße	17-19		9		9149
Krokusweg	1-19	2-20	3	Holzhausen	3521
Krönerstraße	7	2-10	1		2141
Krönerstraße	13		1		2139
Krönerstraße	43-73	12-14	2		2201
Krönerstraße	44-56		2		2231
Krostitzer Weg	1-11	12-30	9		9309
Krugstraße	4-6		3		3089
Kuchengartenstraße	3-5		1		2039
Küchenholzallee	1		5		5311
Küchenholzallee	1A-1D	2A-2B	5		5249
Küchenholzallee	2		5		5319
Küchenholzallee	3-11E		5		5311
Küchenholzallee	6-8		5		5319
Küchenholzallee	75		5		5249
Kuckhoffstraße	1-47		9		1301
Kuckhoffstraße	8-22		9		1341
Kuckhoffstraße	34-48		9		1359
Kuckucksweg	1-13	2-14	9	Seehausen	9400
Kuhnaustraße	1	4-6	4		4402
Kuhturmstraße	2-8		7		7161
Kuhturmstraße	31-35	24-26	7		7159
Kulkwitzer Straße	1-23	4-18	5		5259
Kulmbacher Straße	1-3	2-4	5		6312
Kümmelweg	1-17	2-32	9	Wiederitzsch	9531
Kunadstraße	3-9	2-16	9		9339
Kuntzschmannstraße	1-15		1		1079
Kunzestraße	1-23	2-20	5		5319
Kupfergasse	1	2	0		0019
Kursdorfer Weg	2-26		6		6039
Kurt-Eisner-Straße	1-7		4		4009
Kurt-Eisner-Straße	2-22		4		4040
Kurt-Eisner-Straße	11-23	24-40	4		4001
Kurt-Eisner-Straße	42-54		4		4051
Kurt-Eisner-Straße	31-39	56-62	4		4029
Kurt-Eisner-Straße	41-61	64-78	4		4039
Kurt-Eisner-Straße	63-91		4		4031
Kurt-Eisner-Straße	82-100		4		4069
Kurt-Günther-Straße	1-17	2-30	3		3060
Kurt-Hänselmann-Weg	1-27	4-34	2	Engelsdorf	2809
Kurt-Huber-Weg	1-23	2-24	3		3140
Kurt-Krah-Straße	1-23	6-34	2	Engelsdorf	2712
Kurt-Kresse-Straße	1-33	2-16	5		5249
Kurt-Schumacher-Straße	3-51		0		0621
Kurt-Schumacher-Straße	4-12		0		0109
Kurt-Schumacher-Straße	22		0		0619
Kurt-Tucholsky-Straße	2-12		4		4330
Kurt-Weill-Straße	1-7B		1		1169
Kurze Straße	1-9	4-14	8	Lindenthal	8321
Kutschbachweg	1-3	2	7		7159
Kutscherweg	1-19	2-52	8	Lindenthal	8309
Kutschweg	2-38		1		1401
Lagerhofstraße	2-20		0		0109
Lähnestraße	1-3	2-4	7		7219
Lammertweg	4-6		6		6491
Lampestraße	1	2	0		0301
Lampestraße	3-9	4-8	0		0339
Lampestraße	11-13	10-12	0		0320
Lamprechtstraße	1-21	2-16	2		2330
Landhausstraße	3-7	2-8	8		8102
Landsberger Straße	1-5		9		9129
Landsberger Straße	7-39	4-50B	9		9111
Landsberger Straße	41-79	52A-68	8		9231
Landsberger Straße	81-91	76-88	8		9211
Landsberger Straße	90-116		8		9209
Landsberger Straße	133	128-140	8		8009
Landsberger Straße	171	146-166	8	Lindenthal	8311
Landsteinerstraße	1-3	6	0		0241
Landwaisenhausstraße	1-9	2-12	7		7359
Lange Reihe	6-16		3		3101
Lange Reihe	1-17	24-32	3		3130
Lange Reihe	19-35	42-54	3		3151
Lange Straße	3-31	4-30	0		0129
Lidicestraße	15-17D	18-24	1		1421
Liebensteiner Weg	1-43	2-12A	6		6029
Liebertwolkwitzer Markt	2		3	Liebertwolkwitz	3419
Liebertwolkwitzer Markt	1-9	4-10	3	Liebertwolkwitz	3409
Liebertwolkwitzer Markt	11		3	Liebertwolkwitz	3419
Liebertwolkwitzer Straße	1-87	2-84	3	Holzhausen	3521
Liebfrauenstraße	1-3	2-4	0		4210
Liebigstraße	13-27C	12-26A	0		0212
Liebigstraße	28		0		0241
Liechtensteinstraße	9-31	2-18	4		4349
Liechtensteinstraße	33-39		4		4309
Ligusterweg	1-19	2-18	1		1500
Liliensteinstraße	1-87	30-48	6		6489
Lilienstraße	1-41	2-36	1		2069
Lilienthalstraße	1-3	2-6	9		1359
Lilienweg	1-31	2-36	2	Mölkau	2601
Limburgerstraße	2-22		5		5129
Limburgerstraße	3-45		5		5140
Limburgerstraße	47-71	46-74D	5		5139
Lindenallee	3A	2-8	8	Lindenthal	8309
Lindenauer Markt	1-21	2-22	7		7161
Lindenauer Straße	1-41	2-38	7	Rückmarsdorf	7510
Lindengasse	1-13	2-10	9	Seehausen	9419
Lindennaundorfer Weg	9-21	4-16	6		6009
Lindenpark	1-17	4-16	7	Rückmarsdorf	7510
Lindenstraße	1-107	2-78	9	Wiederitzsch	9509
Lindenstraße	84		9	Wiederitzsch	9519
Lindenthaler Hauptstraße	1-113		8	Lindenthal	8313
Lindenthaler Hauptstraße	2-104		8	Lindenthal	8309
Lindenthaler Hauptstraße	121-155	106-144	8	Lindenthal	8321
Lindenthaler Straße	1-15	2-14	8		9029
Lindenthaler Straße	17-57	20-44	8		9021
Lindenthaler Straße	46		8		9039
Lindenthaler Straße	56-68		9		9169
Lindenthaler Straße	59-59A		8		9070
Lindenthaler Straße	61-65		9		9129
Linkelstraße	1-11	2A-2F	8		8119
Linkelstraße	21-41	2	8		8121
Linkelstraße	4-54		8		8121
Linkelstraße	61		8		8111
Linnéstraße	1-9	2-12	0		0241
Lintacherstraße	1-11	2-16	2	Mölkau	2619
Lionstraße	1-13	12-14	7		7029
Lipinskistraße	23-51		5		5339
Lippendorfer Straße	2-18		4		4159
Liprandisdorfer Straße	1-5	2	3	Liebertwolkwitz	3439
Lipsiusstraße	2-24		3		3060
Lipsiusstraße	3-7		3		3039
Lipsiusstraße	9-27		3		3049
Lipsiusstraße	33-47	28-44	3		3059
Liselotte-Herrmann-Straße	2-56		2		2201
Lise-Meitner-Straße	1-15	2-26	7	BöhLindenthalz-Ehrenberg	7401
Littstraße	5-9		0		0109
Liviastraße	1-9	2-8	0		0530
Löbauer Straße	21-29		1		1009
Löbauer Straße	35-51	2-24	1		1029
Löbauer Straße	26-42B		1		1030
Löbauer Straße	59-65	44	1		1109
Löbauer Straße	46-52		1		1129
Löbauer Straße	67-115	54-70	1		1119
Lobelienweg	49-95	48-78	3	Holzhausen	3509
Lobensteiner Straße	1-23	2-30	5		6311
Lobstädter Straße	1-23	2-24	4		4349
Lochmannstraße	2-6		3		3130
Logauweg	1-23	4-26	3		3319
Löhrstraße	1-25	2-20	0		0621
Lönsstraße	1-25	2-24	9	Wiederitzsch	9519
Lorenzstraße	2		1		2020
Lortzingstraße	3-19	6-16	0		0521
Losinskiweg	1-15		1		1109
Losinskiweg	2-18		1		1129
Lößniger Straße	1-7	2-14	0		0359
Lößniger Straße	9-19	16-20	4		4031
Lößniger Straße	22-26		4		4019
Lößniger Straße	30-50		4		4031
Lößniger Straße	52-60		4		4069
Malvenweg	1-23	2-24	2	Mölkau	2601
Manetstraße	19-29	2-8	0		0449
Mannheimer Straße	5-7	2-72	6		6259
Mannheimer Straße	74-120		6		6239
Mannheimer Straße	122-128		6		6259
Mannheimer Straße	128A-158		6		6249
Mansfelder Weg	1-13	2-36	7		7200
Marbachstraße	7-13	2-16	8		9070
Marcher Straße	7-57	6-60	3	Holzhausen	3521
Marchlewskiweg	1-19	2-20	3		3319
Marcusgasse	7	2-6	1		2069
Margaretenstraße	2-8		1		2059
Margeritenweg	1-57	2-52	7		7239
Maria-Grollmuß-Straße	1-15		8		9211
Mariannenpark	1		1		1009
Mariannenstraße	1-71	2-48	1		2009
Mariannenstraße	52-72		1		2020
Mariannenstraße	73-121	74-118	1		2109
Marienberger Straße	1	2	1		1439
Marienbrunnenstraße	1-13	4-14	3		3140
Marienplatz	1	2	0		0129
Marienweg	1-7		8		8071
Marienweg	10		0		0519
Markgrafenstraße	1-7	2-10	0		0019
Markkleeberger Straße	25-79	2-34	4		4410
Markranstädter Straße	2-8B		5		5129
Markranstädter Straße	1-33	10-18	5		5139
Markt	1-17	4-16	0		0019
Marktstraße	3-9	2-10	7		7161
Marmontstraße	3-23	2-28	9	Wiederitzsch	9519
Marpergerstraße	1-39	2-26	5		5049
Marschnerstraße	3-25		0		0400
Marschnerstraße	29-31	2-50	0		0419
Marsweg	1-11		6		6519
Martin-Drucker-Straße	3-31	2-16D	9		9100
Martin-Herrmann-Straße	1	2-32	5		5301
Martin-Luther-Ring	2-12		0		0019
Martin-Luther-Ring	3-5		0		0310
Martin-Luther-Ring	7-13		0		0449
Martinsbogen	1-23	2-28	9	Wiederitzsch	9511
Martinshöhe	5A-9D	4-48	9	Wiederitzsch	9511
Martinstraße	4-10		2		2221
Martinstraße	5-17	12-16	2		2249
Martinstraße	18-20		2		2221
Mascovstraße	1-3		2		2201
Mascovstraße	2-16		2		2231
Mathiesenstraße	3A-17	2-16	7		7309
Mathildenstraße	3-11	4-16	4		4101
Matthäikirchhof	1		0		0019
Mattheuerbogen	9-25	4-16	3		3211
Matthias-Erzberger-Straße	1-11	2-10	2	Engelsdorf	2729
Matthissonstraße	1-9	2-6	9		9111
Matzelstraße	4-20		4		4402
Matzelstraße	5-9B		4		4401
Mauersbergerstraße	1		3		3169
Mauersbergerstraße	1A-1C	2A-8	3		3168
Mauersbergerstraße	3-9		3		3169
Mauersbergerstraße	17-19	12-16	3		3161
Maulbeerweg	1-37	2-48	5		5411
Maulwurfweg	1-5	2-8	1		2512
Max-Beckmann-Straße	2-10		0		0449
Max-Beckmann-Straße	1-31	18-22	0		0429
Max-Borsdorf-Straße	1-15	2-18	2		2309
Maximilianallee	1-3		9		9359
Maximilianallee	5-25	2-26	9		9329
Maximilianallee	70		9		9309
Maximilianallee	80		9	Seehausen	9400
Maximilian-Kolbe-Weg	1-27	2-12	2	Engelsdorf	2709
Max-Liebermann-Straße	3-17	2-16	8		8009
Max-Liebermann-Straße	18-36C		8		8029
Max-Liebermann-Straße	1,90E-068		8		9211
Max-Liebermann-Straße	56-104		8		9231
Max-Liebermann-Straße	79-109	106-184	8		9229
Max-Liebermann-Straße	186		9		9309
Max-Lingner-Straße	2-6		1		1159
Max-Lingner-Straße	3		1		1129
Möbiusstraße	9-15	8	3		3060
Mockauer Ring	15		9		1301
Mockauer Straße	1-47	8-48	9		1209
Mockauer Straße	49-115		9		1211
Mockauer Straße	50-116		9		1220
Mockauer Straße	117-123		9		1339
Mockauer Straße	120-138		9		1360
Möckernsche Straße	1-13	2-6	8		9070
Möckernsche Straße	8-44		8		9059
Möckernsche Straße	17-49		8		9049
Möckernscher Weg	1-27	2-34A	9	Wiederitzsch	9511
Möckernscher Weg	46-48		9	Wiederitzsch	9519
Mohnweg	1-33	4-26	9	Wiederitzsch	9519
Mölkauer Dorfplatz	1-9	2-8	2	Mölkau	2601
Mölkauer Straße	2-6		3	Holzhausen	3521
Mölkauer Straße	1-101	6A-98	3	Holzhausen	3529
Mölkauer Straße	103	102	3	Holzhausen	3509
Moltkestraße	5-45	2-46	7	BöhLindenthalz-Ehrenberg	7402
Moltrechtstraße	1-45	2-40	2	Mölkau	2609
Mommsenstraße	1-7	2-6	1		2509
Monarchenhügel	1-17	2-28	3	Holzhausen	3521
Monarchenhügel	21-43	30	3	Liebertwolkwitz	3409
Monarchenhügel	32-52		3	Liebertwolkwitz	3419
Moosbeerweg	1-23	2-24	5		5411
Moränenweg	1-27	2-24	1		1500
Morawitzstraße	2-4		3		3209
Morgensternstraße	1-25	2-28	7		7200
Morgensternstraße	27-51		7		7219
Mörikestraße	1-15	2-14	9		9339
Morungenstraße	1-35	2-50	5		5412
Moschelesstraße	1-13	2-18	0		0400
Mosenthinstraße	1-5	2-54	9		9329
Mothesstraße	1-3	2	9		9309
Mottelerstraße	1-13	4-8	8		9059
Mottelerstraße	15-23	10-30	8		9009
Mozartstraße	1-13	2-12	0		0301
Mozartstraße	17-21A		0		0320
Mühlbergsiedlung	1-29	4-20	3	Holzhausen	3519
Mühlenplatz	1-5	2-4	7	BöhLindenthalz-Ehrenberg	7439
Mühlenstraße	1-31	2-28	8	Lützschena-Stahmeln	8200
Mühlenweg	1		5	Hartmannsdorf-Knautnaundorf	5509
Mühlgrabenweg	11-47	12-48	9	Seehausen	9400
Mühlholzgasse	1-103	2-48	4		4101
Mühligstraße	1-5	2-10	7		7159
Mühlparkweg	1-25	2-2A	5		5339
Mühlstraße	1		3		3021
Mühlstraße	12-14		3		3089
Mühlstraße	13-21	24-40	3		3039
Mühlweg	1-17	2	2	Mölkau	2609
Mühlweg	25	30	2	Engelsdorf	2731
