Wbz	Wahlraum	Anschrift	BF
5119	Erich-Zeigner-Schule	Erich-Zeigner-Allee 24	1
3509	ehem. Gemeindeamt Holzhausen	Stötteritzer Landstr. 31	0
5121	Erich-Zeigner-Schule	Erich-Zeigner-Allee 24	1
3519	Schule Holzhausen	Stötteritzer Landstraße 21	0
5122	Erich-Zeigner-Schule	Erich-Zeigner-Allee 24	1
3521	Berggut Holzhausen	Zuckelhausener Ring 17	1
5129	Commundo Tagungshotel Leipzig	Zschochersche Str. 69	1
3529	"Kindertagesstätte ""Fuchsbau"""	Russenstraße 135	1
5139	Schule am Adler	Antonienstraße 24	0
4001	Immanuel-Kant-Schule	Scharnhorststraße 15	1
5140	Schule am Adler	Antonienstraße 24	0
4009	Immanuel-Kant-Schule	Scharnhorststraße 15	1
5209	Joachim-Ringelnatz-Schule	Grünauer Allee 35	1
4011	Landesdirektion Sachsen	Braustraße 2	1
5211	Schule am Adler	Antonienstraße 24	0
4019	FZG Bildungszentrum Gastgewerbe	Kohlenstraße 28	1
5219	Johannes-Kepler-Schule	Dieskaustraße 76	0
4029	Immanuel-Kant-Schule	Scharnhorststraße 15	1
5221	Galerie Cafe H-M	Herrmann-Meyer-Straße 38	0
4031	FZG Bildungszentrum Gastgewerbe	Kohlenstraße 28	1
5249	Johannes-Kepler-Schule	Dieskaustraße 76	0
4039	Stadtbezirksbibliothek Süd	Steinstraße 42	1
5259	Johannes-Kepler-Schule	Dieskaustraße 76	0
4040	Haus Steinstraße	Steinstraße 18	0
5301	120. Schule	Martin-Herrmann-Straße 1	0
4051	Immanuel-Kant-Schule	Scharnhorststraße 15	1
5309	85. Schule	Stuttgarter Allee 3	0
4069	3. Schule (Interim)	Bernhard-Göring-Straße 107	1
5311	56. Schule	Dieskaustraße 213	0
4079	Haus Steinstraße	Steinstraße 18	0
5319	120. Schule	Martin-Herrmann-Straße 1	0
4089	3. Schule (Interim)	Bernhard-Göring-Straße 107	1
5329	56. Schule	Dieskaustraße 213	0
4098	3. Schule (Interim)	Bernhard-Göring-Straße 107	1
5339	56. Schule	Dieskaustraße 213	0
4099	3. Schule (Interim)	Bernhard-Göring-Straße 107	1
5401	60. Schule	Seumestraße 93	0
4101	Apollonia-von-Wiedebach-Schule	Arno-Nitzsche-Straße 7	1
5409	60. Schule	Seumestraße 93	0
4109	Apollonia-von-Wiedebach-Schule	Arno-Nitzsche-Straße 7	1
5411	Berufsbildungswerk Leipzig	Knautnaundorfer Straße 4	1
4111	Apollonia-von-Wiedebach-Schule	Arno-Nitzsche-Straße 7	1
5412	Berufsbildungswerk Leipzig	Knautnaundorfer Straße 4	1
4121	Haus der Demokratie	Bernhard-Göring-Straße 152	1
5509	Landgasthof Knautnaundorf	Schkorlopper Straße 34	1
4129	Apollonia-von-Wiedebach-Schule	Arno-Nitzsche-Straße 7	1
5520	Berufsbildungswerk Leipzig	Knautnaundorfer Straße 4	1
6009	90. Schule	Garskestraße 21	0
7402	Heinrich-Pestalozzi-Schule	Pestalozzistraße 39	0
6029	90. Schule	Garskestraße 21	0
7419	Schule Böhlitz-Ehrenberg	Heinrich-Heine-Straße 64	0
6039	90. Schule	Garskestraße 21	0
7421	Schule Böhlitz-Ehrenberg	Heinrich-Heine-Straße 64	0
6109	Maria-Montessori-Schulzentrum	Alte Salzstraße 61	1
7429	Heinrich-Pestalozzi-Schule	Pestalozzistraße 39	0
